"PIN_id","DPN","Image","Ref_Emdep","Ref_Ingun","Ref_Fenmmital","Ref_Ptr","Type","Multi_APN"
"61","10881384","/pin/10881384.jpg","02P201GC1","NA","F885 06B 100 G 200 SM","3012/2GS-C5-2.3N-AU-1.0","'MICRO'",""
"62","13743068","/pin/F875 16B 070 G 135.png","02P202GF701","SKS-215 302 070 A 1502 MF-80","F875 16B 070 G 135","NA","'MICRO'",""
"63","33259509","/pin/F875 16B 060 G 135 S1.png","02P202GF651","NA","F875 16B 060 G 135 S1","","'MICRO'",""
"64","33312478","/pin/F731 06B 100 G 300.png","02P15GC10","GKS-899 306 100 A 3002 M","F731 06B 100 G 300","1015/G-C-3.0N-Au-1,0","'PIN'",""
"65","10913009","/pin/F731 11B 065 G 100.png","02P15GD2","GKS-899 305 065 A 1002 M","F731 11B 065 G 100","1015/G-D-1.0N-AU-0.65 C","","35617289"
"181","PTCC0196103","/pin/PTCC0196103.jpg","02BO393565","","","","'TIGE'",""
"182","PTCC0650188","/pin/PTCC0650188.jpg","02L2918065656","","","","'TIGE'",""
"184","35617269","","","","","","",""
"185","NA","","","","","","",""
"188","35617246","","","","","","",""
"189","10913139","/pin/H875KB.png","","","H875KB","","",""
"190","33256027","/F731 11B 0007 G 300 SP.png","02P15GD063515","T-899 305 065 350 150 A 3002M","F731 11B 0007 G 300 SP","1015/G-D0635-3.0N-Au-0.65x3.5/1.5","","35617248"
"191","33254343","","02BO295652P","","","","",""
"192","35309742","/F732 16B 1043 G 300 SP.png","","","F732 16B 1043 G 300 SP","","",""
"193","33358703","/F730 11B 0006 G 110 SP.png","","","F730 11B 0006 G 110 SP","","",""
"194","33160581","/F732 11B 1036 G 150 SP.png","","","F732 11B 1036 G 150 SP","","",""
"195","13889830","","02P16GD0640","","","1015 G-D1001-3.0N-AU-0.65X4.0","",""
"196","13740552","/F732 11B 1022 G 150SP.png","","","F732 11B 1022 G 150SP","","",""
"197","10912994","","","","","","",""
"198","10919307","/732 11B 1051 G 150 SP.png","","","F732 11B 1051 G 150 SP","","",""
"199","35484644","","","T-899 305 065 550 140 A 1502M","","","",""
"200","10913537","","","","","1015 G-D7-1.1N-AU-0.65","",""
"201","13800424","/F731 16B 0006 G 150 SP.png","","","F731 16B 0006 G 150 SP","","",""
"202","13889832","","","","","1021 G-D1024-3.0N-AU-0.65X4.3","",""
"203","35254585","/F730 12B 0001 G11 0SP (10).png","","","F730 12B 0001 G11 0SP (10)","","",""
"204","35039887","/F732 11B 0081 G 300 SP.png","","","F732 11B 0081 G 300 SP","","",""
"205","13881725","","","","F732 16B 1030 G 150 SP","","",""
"206","13889838","","","","","","",""
"207","13889828","","","","","1015 G-D1002-3.0N-AU-0.65X2.8","",""
